,timestamp,value
4032,2018-07-13 03:00:00,1140.0
4033,2018-07-13 04:00:00,1111.0
4034,2018-07-13 05:00:00,1083.0
4035,2018-07-13 06:00:00,1151.0
4036,2018-07-13 07:00:00,1205.0
4037,2018-07-13 08:00:00,1275.0
4038,2018-07-13 09:00:00,1360.0
4039,2018-07-13 10:00:00,1451.0
4040,2018-07-13 11:00:00,1576.0
4041,2018-07-13 12:00:00,1728.0
4042,2018-07-13 13:00:00,1856.0
4043,2018-07-13 14:00:00,1975.0
4044,2018-07-13 15:00:00,2078.0
4045,2018-07-13 16:00:00,2110.0
4046,2018-07-13 17:00:00,2184.0
4047,2018-07-13 18:00:00,2221.0
4048,2018-07-13 19:00:00,2207.0
4049,2018-07-13 20:00:00,2113.0
4050,2018-07-13 21:00:00,2013.0
4051,2018-07-13 22:00:00,1942.0
4052,2018-07-13 23:00:00,1776.0
4053,2018-07-14 00:00:00,1606.0
4054,2018-07-14 01:00:00,1466.0
4055,2018-07-14 02:00:00,1337.0
4056,2018-07-14 03:00:00,1249.0
4057,2018-07-14 04:00:00,1177.0
4058,2018-07-14 05:00:00,1136.0
4059,2018-07-14 06:00:00,1129.0
4060,2018-07-14 07:00:00,1139.0
4061,2018-07-14 08:00:00,1224.0
4062,2018-07-14 09:00:00,1355.0
4063,2018-07-14 10:00:00,1517.0
4064,2018-07-14 11:00:00,1700.0
4065,2018-07-14 12:00:00,1838.0
4066,2018-07-14 13:00:00,1949.0
4067,2018-07-14 14:00:00,2026.0
4068,2018-07-14 15:00:00,2083.0
4069,2018-07-14 16:00:00,2090.0
4070,2018-07-14 17:00:00,2200.0
4071,2018-07-14 18:00:00,2271.0
4072,2018-07-14 19:00:00,2238.0
4073,2018-07-14 20:00:00,2159.0
4074,2018-07-14 21:00:00,2032.0
4075,2018-07-14 22:00:00,1940.0
4076,2018-07-14 23:00:00,1814.0
4077,2018-07-15 00:00:00,1679.0
4078,2018-07-15 01:00:00,1530.0
4079,2018-07-15 02:00:00,1425.0
4080,2018-07-15 03:00:00,1354.0
4081,2018-07-15 04:00:00,1300.0
4082,2018-07-15 05:00:00,1251.0
4083,2018-07-15 06:00:00,1250.0
4084,2018-07-15 07:00:00,1255.0
4085,2018-07-15 08:00:00,1305.0
4086,2018-07-15 09:00:00,1426.0
4087,2018-07-15 10:00:00,1603.0
4088,2018-07-15 11:00:00,1696.0
4089,2018-07-15 12:00:00,1799.0
4090,2018-07-15 13:00:00,1867.0
4091,2018-07-15 14:00:00,1911.0
4092,2018-07-15 15:00:00,1873.0
4093,2018-07-15 16:00:00,1861.0
